Id,date,TotalSteps,Calories,SedentaryMinutes,VeryActiveMinutes,LightlyActiveMinutes,TotalMinutesAsleep,AvgHR,MaxHR,MinHR,HRCount,weekday,zero_step_high_cal,valid_row,steps_bucket
1503960366,2016-04-12,13162,1985,728,25,328,327.0,,,,,Tuesday,False,True,>10k
1503960366,2016-04-13,10735,1797,776,21,217,384.0,,,,,Wednesday,False,True,>10k
1503960366,2016-04-14,10460,1776,1218,30,181,,,,,,Thursday,False,True,>10k
1503960366,2016-04-15,9762,1745,726,29,209,412.0,,,,,Friday,False,True,5k-10k
1503960366,2016-04-16,12669,1863,773,36,221,340.0,,,,,Saturday,False,True,>10k
1503960366,2016-04-17,9705,1728,539,38,164,700.0,,,,,Sunday,False,True,5k-10k
1503960366,2016-04-18,13019,1921,1149,42,233,,,,,,Monday,False,True,>10k
1503960366,2016-04-19,15506,2035,775,50,264,304.0,,,,,Tuesday,False,True,>10k
1503960366,2016-04-20,10544,1786,818,28,205,360.0,,,,,Wednesday,False,True,>10k
1503960366,2016-04-21,9819,1775,838,19,211,325.0,,,,,Thursday,False,True,5k-10k
1503960366,2016-04-22,12764,1827,1217,66,130,,,,,,Friday,False,True,>10k
1503960366,2016-04-23,14371,1949,732,41,262,361.0,,,,,Saturday,False,True,>10k
1503960366,2016-04-24,10039,1788,709,39,238,430.0,,,,,Sunday,False,True,>10k
1503960366,2016-04-25,15355,2013,814,73,216,277.0,,,,,Monday,False,True,>10k
1503960366,2016-04-26,13755,1970,833,31,279,245.0,,,,,Tuesday,False,True,>10k
1503960366,2016-04-27,18134,2159,1108,78,243,,,,,,Wednesday,False,True,>10k
1503960366,2016-04-28,13154,1898,782,48,189,366.0,,,,,Thursday,False,True,>10k
1503960366,2016-04-29,11181,1837,815,16,243,341.0,,,,,Friday,False,True,>10k
1503960366,2016-04-30,14673,1947,712,52,217,404.0,,,,,Saturday,False,True,>10k
1503960366,2016-05-01,10602,1820,730,33,246,369.0,,,,,Sunday,False,True,>10k
1503960366,2016-05-02,14727,2004,798,41,277,277.0,,,,,Monday,False,True,>10k
1503960366,2016-05-03,15103,1990,816,50,254,273.0,,,,,Tuesday,False,True,>10k
1503960366,2016-05-04,11100,1819,1179,36,203,,,,,,Wednesday,False,True,>10k
1503960366,2016-05-05,14070,1959,857,45,250,247.0,,,,,Thursday,False,True,>10k
1503960366,2016-05-06,12159,1896,754,24,289,334.0,,,,,Friday,False,True,>10k
1503960366,2016-05-07,11992,1821,833,37,175,331.0,,,,,Saturday,False,True,>10k
1503960366,2016-05-08,10060,1740,574,44,203,594.0,,,,,Sunday,False,True,>10k
1503960366,2016-05-09,12022,1819,835,46,206,338.0,,,,,Monday,False,True,>10k
1503960366,2016-05-10,12207,1859,746,46,214,383.0,,,,,Tuesday,False,True,>10k
1503960366,2016-05-11,12770,1783,669,36,251,285.0,,,,,Wednesday,False,True,>10k
1503960366,2016-05-12,0,0,1440,0,0,,,,,,Thursday,False,True,<5k
1624580081,2016-04-12,8163,1432,1294,0,146,,,,,,Tuesday,False,True,5k-10k
1624580081,2016-04-13,7007,1411,1292,0,148,,,,,,Wednesday,False,True,5k-10k
1624580081,2016-04-14,9107,1572,1204,0,236,,,,,,Thursday,False,True,5k-10k
1624580081,2016-04-15,1510,1344,1344,0,96,,,,,,Friday,False,True,<5k
1624580081,2016-04-16,5370,1463,1264,0,176,,,,,,Saturday,False,True,5k-10k
1624580081,2016-04-17,6175,1554,1276,15,127,,,,,,Sunday,False,True,5k-10k
1624580081,2016-04-18,10536,1604,1214,17,202,,,,,,Monday,False,True,>10k
1624580081,2016-04-19,2916,1435,1299,0,141,,,,,,Tuesday,False,True,<5k
1624580081,2016-04-20,4974,1446,1289,0,151,,,,,,Wednesday,False,True,<5k
1624580081,2016-04-21,6349,1467,1254,0,186,,,,,,Thursday,False,True,5k-10k
1624580081,2016-04-22,4026,1470,1241,0,199,,,,,,Friday,False,True,<5k
1624580081,2016-04-23,8538,1562,1213,0,227,,,,,,Saturday,False,True,5k-10k
1624580081,2016-04-24,6076,1617,1221,16,185,,,,,,Sunday,False,True,5k-10k
1624580081,2016-04-25,6497,1492,1238,0,202,,,,,,Monday,False,True,5k-10k
1624580081,2016-04-26,2826,1402,1300,0,140,,,,,,Tuesday,False,True,<5k
1624580081,2016-04-27,8367,1670,1233,17,154,,,,,,Wednesday,False,True,5k-10k
1624580081,2016-04-28,2759,1401,1320,0,115,,,,,,Thursday,False,True,<5k
1624580081,2016-04-29,2390,1404,1290,0,150,,,,,,Friday,False,True,<5k
1624580081,2016-04-30,6474,1655,1182,11,224,,,,,,Saturday,False,True,5k-10k
1624580081,2016-05-01,36019,2690,1020,186,171,,,,,,Sunday,False,True,>10k
1624580081,2016-05-02,7155,1497,1261,7,166,,,,,,Monday,False,True,5k-10k
1624580081,2016-05-03,2100,1334,1344,0,96,,,,,,Tuesday,False,True,<5k
1624580081,2016-05-04,2193,1368,1322,0,118,,,,,,Wednesday,False,True,<5k
1624580081,2016-05-05,2470,1370,1323,0,117,,,,,,Thursday,False,True,<5k
1624580081,2016-05-06,1727,1341,1338,0,102,,,,,,Friday,False,True,<5k
1624580081,2016-05-07,2104,1474,1258,0,182,,,,,,Saturday,False,True,<5k
1624580081,2016-05-08,3427,1427,1288,0,152,,,,,,Sunday,False,True,<5k
1624580081,2016-05-09,1732,1328,1349,0,91,,,,,,Monday,False,True,<5k
1624580081,2016-05-10,2969,1393,1301,0,139,,,,,,Tuesday,False,True,<5k
1624580081,2016-05-11,3134,1359,1328,0,112,,,,,,Wednesday,False,True,<5k
1624580081,2016-05-12,2971,1002,890,0,107,,,,,,Thursday,False,True,<5k
1644430081,2016-04-12,10694,3199,1131,2,256,,,,,,Tuesday,False,True,>10k
1644430081,2016-04-13,8001,2902,1259,30,135,,,,,,Wednesday,False,True,5k-10k
1644430081,2016-04-14,11037,3226,1125,5,252,,,,,,Thursday,False,True,>10k
1644430081,2016-04-15,5263,2750,1263,3,170,,,,,,Friday,False,True,5k-10k
1644430081,2016-04-16,15300,3493,1135,51,212,,,,,,Saturday,False,True,>10k
1644430081,2016-04-17,8757,3011,1212,29,186,,,,,,Sunday,False,True,5k-10k
1644430081,2016-04-18,7132,2806,1271,15,121,,,,,,Monday,False,True,5k-10k
1644430081,2016-04-19,11256,3300,1099,5,278,,,,,,Tuesday,False,True,>10k
1644430081,2016-04-20,2436,2430,1315,0,125,,,,,,Wednesday,False,True,<5k
1644430081,2016-04-21,1223,2140,1402,0,38,,,,,,Thursday,False,True,<5k
1644430081,2016-04-22,3673,2344,1354,0,86,,,,,,Friday,False,True,<5k
1644430081,2016-04-23,6637,2677,1265,0,160,,,,,,Saturday,False,True,5k-10k
1644430081,2016-04-24,3321,2413,1351,0,89,,,,,,Sunday,False,True,<5k
1644430081,2016-04-25,3580,2497,1337,8,94,,,,,,Monday,False,True,<5k
1644430081,2016-04-26,9919,3123,1165,11,223,,,,,,Tuesday,False,True,5k-10k
1644430081,2016-04-27,3032,2489,1322,0,118,,,,,,Wednesday,False,True,<5k
1644430081,2016-04-28,9405,3108,1157,3,227,,,,,,Thursday,False,True,5k-10k
1644430081,2016-04-29,3176,2498,1193,0,120,119.0,,,,,Friday,False,True,<5k
1644430081,2016-04-30,18213,3846,816,9,402,124.0,,,,,Saturday,False,True,>10k
1644430081,2016-05-01,6132,2696,908,3,146,,,,,,Sunday,False,True,5k-10k
1644430081,2016-05-02,3758,2580,682,1,148,796.0,,,,,Monday,False,True,<5k
1644430081,2016-05-03,12850,3324,1115,10,221,,,,,,Tuesday,False,True,>10k
